SMILES,CID,f_avg_IC50,series
Cc1cnn(C)c1C(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,EDJ-MED-cc48ee33-4,0.682987814617111,3-aminopyridine-like
Cc1cc(C(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)n(C)n1,EDJ-MED-cc48ee33-5,0.463982011635883,3-aminopyridine-like
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3nncn3C3CC3)C2)CC1,EDJ-MED-fb79a796-3,55.3431987015271,3-aminopyridine-like
CNC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccc(OCCN(C)C)cc34)C2=O)C1,MAT-POS-38eb6498-3,0.20958075735735,3-aminopyridine-like
O=C(Nc1cncc2c1CCCC2)[C@H]1CNS(=O)(=O)c2ccc(Cl)cc21,MIK-UNK-58cd43d0-1,0.723364706056088,3-aminopyridine-like
CNC(=O)CN1Cc2ccc(Cl)cc2[C@]2(CCN(c3cncc4c3CCCC4)C2=O)C1,MIK-UNK-122557fa-1,99.5,3-aminopyridine-like
CNC(=O)CN1Cc2ccc(Cl)cc2[C@@]2(CCN(c3cncc4c3CCCC4)C2=O)C1,MIK-UNK-1619f2e2-1,0.235440420166198,3-aminopyridine-like
O=C(Nc1cncc2c1CCCC2)[C@@H]1CNS(=O)(=O)c2ccc(Cl)cc21,MIK-UNK-78dbf1b8-1,0.205138508118445,3-aminopyridine-like
CC(CCC(OC1OC(COC2OC(CO)C(O)C(O)C2O)C(O)C(O)C1O)C(C)(C)O)C1CCC2(C)C3CC=C4C(CCC(O)C4(C)C)C3(C)C(O)CC12C,SAL-UNI-60119594-1,99.5,
COC(C)(C)/C=C/C[C@@H](C)[C@H]1CC[C@@]2(C)[C@@H]3[C@@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C=C4[C@@H](CC[C@H](O)C4(C)C)[C@]3(C=O)CC[C@]12C,SAL-UNI-60119594-2,99.5,
C[C@H](C/C=C/C(C)(C)O)[C@H]1CC[C@@]2(C)[C@@H]3C=C[C@]45OC(O)[C@@]3(CC[C@]12C)[C@@H]4CC[C@H](O[C@@H]1O[C@H](CO)[C@@H](O)[C@H](O)[C@H]1O)C5(C)C,SAL-UNI-60119594-3,99.5,
CC(C)=CCC[C@@](C)(O)[C@H]1CC[C@]2(C)[C@@H]1[C@H](O)C[C@@H]1[C@@]3(C)CC[C@H](O[C@@H]4O[C@H](CO)[C@@H](O)[C@H](O)[C@H]4O)C(C)(C)[C@@H]3CC[C@]12C,SAL-UNI-60119594-4,99.5,
CC1=C[C@@H](c2c(O)cc(-c3cc4ccc(O)cc4o3)cc2O)[C@@H](C(=O)c2ccc(O)cc2O)[C@H](c2ccc(O)cc2O)C1,SAL-UNI-60119594-5,99.5,
CC(C)=CCC/C(C)=C/CC/C(C)=C/CC/C(C)=C/Cc1cc(O)cc2c1OC(=O)C2=C(C)C,SAL-UNI-60119594-6,99.5,
C[C@H](C/C=C/C(C)(C)O)[C@H]1CC[C@@]2(C)[C@@H]3C=C[C@@]45OC[C@]3(CC[C@]12C)[C@@H]4CC[C@H](O)C5(C)C,SAL-UNI-60119594-7,99.5,
COc1c(O[C@@H]2O[C@H](CO)[C@@H](O)[C@H](O)[C@H]2O)cc2oc(-c3ccc(O)cc3)cc(=O)c2c1O,SAL-UNI-60119594-8,99.5,
O=c1c(O[C@@H]2O[C@H](CO)[C@H](O)[C@H](O)[C@H]2O)c(-c2ccc(O)c(O)c2)oc2cc(O)cc(O)c12,SAL-UNI-60119594-9,99.5,
COc1cc(O)c(CC=C(C)C)c(O)c1C(=O)/C=C/c1ccc(O)cc1,SAL-UNI-60119594-10,99.5,
C[C@@H]1[C@@]2(CC[C@@H](C)CO2)O[C@H]2C[C@H]3[C@@H]4CC=C5C[C@@H](O)CC[C@]5(C)[C@H]4CC[C@]3(C)[C@@]21O,ASA-WEI-839d033f-1,99.5,
O=C1N(c2cncc3ccccc23)CCC[C@]12CCOc1ccc(Cl)cc12,MAT-POS-e20a5dfb-1,99.5,3-aminopyridine-like
O=C1N(c2cncc3ccccc23)CCC[C@@]12CCOc1ccc(Cl)cc12,MAT-POS-e20a5dfb-2,0.364616345287509,3-aminopyridine-like
CNC(=O)CN1C[C@]2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2C1=O,PET-UNK-14142a25-1,82.156420927535,Ugi
CNC(=O)C1(N2CC3(CCN(c4cncc5ccccc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,EDJ-MED-976a33d5-1,0.0903638543493449,Ugi
CNC(=O)C1(N2CC3(CCN(c4cncc5cc(S(C)(=O)=O)ccc45)C3=O)c3cc(Cl)ccc3C2=O)CC1,EDJ-MED-976a33d5-2,0.264725262374338,
CC1(NC(=O)CN2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,MAT-POS-69786b79-3,0.270577633742706,3-aminopyridine-like
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1cocn1)c1ccc(-n2ccnc2)cc1,ALP-UNI-fe744232-1,99.5,Ugi
N#Cc1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-UNI-fe744232-3,99.5,Ugi
CCNC(=O)c1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-UNI-fe744232-9,99.5,Ugi
CC1(c2ccc(N(C(=O)c3cocn3)C(C(=O)NCCc3cccc(F)c3)c3cccnc3)cc2)OCCO1,ALP-UNI-fe744232-11,83.0984495713822,Ugi
CNC(=O)Nc1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-UNI-fe744232-12,99.5,Ugi
O=C(Nc1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1)NC1CC1,ALP-UNI-fe744232-13,99.5,Ugi
O=C(NCCO)c1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-UNI-fe744232-17,99.5,Ugi
CC(C)(O)c1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-UNI-fe744232-18,26.5333068459492,Ugi
O=C(NCCCO)c1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-UNI-fe744232-19,99.5,Ugi
O=C(NCCc1cccc(F)c1)C(c1cccnc1)N(C(=O)c1cocn1)c1ccc(C2(O)COC2)cc1,ALP-UNI-fe744232-22,99.5,Ugi
COCOc1ccc(N(C(=O)c2cocn2)C(C(=O)NCCc2cccc(F)c2)c2cccnc2)cc1,ALP-UNI-fe744232-30,13.2468260025678,Ugi
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3[C@@]3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,MIK-ENA-5d9157e9-1,0.0500000007450581,3-aminopyridine-like
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3[C@]3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,MIK-ENA-5d9157e9-2,13.4604003483117,3-aminopyridine-like
CNC(=O)CN1C[C@@H](C(=O)Nc2cncc3cccc(Cl)c23)c2cc(Cl)ccc2C1=O,MIK-ENA-5d9157e9-3,14.5685572741904,Ugi
CNC(=O)CN1C[C@H](C(=O)Nc2cncc3cccc(Cl)c23)c2cc(Cl)ccc2C1=O,MIK-ENA-5d9157e9-4,0.0963831103296584,Ugi
C[C@]1(C(=O)Nc2cncc3c2CCCC3)CNS(=O)(=O)c2ccc(Cl)cc21,MIK-ENA-5d9157e9-5,0.213912997054492,3-aminopyridine-like
C[C@@]1(C(=O)Nc2cncc3c2CCCC3)CNS(=O)(=O)c2ccc(Cl)cc21,MIK-ENA-5d9157e9-6,3.72315569375659,3-aminopyridine-like
CNC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4c3CCCC4)C2=O)C1,EDJ-MED-705e09b8-1,0.258254886981143,3-aminopyridine-like
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5c4CCCC5)C3=O)C2)CC1,EDJ-MED-705e09b8-2,0.514550866659664,3-aminopyridine-like
CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CS(=O)(=O)C1,ALP-POS-ecbed2ba-1,0.143631362485729,
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CCS(=O)(=O)CC1,ALP-POS-ecbed2ba-2,0.210882671886221,
CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,ALP-POS-ecbed2ba-3,0.265301853353024,3-aminopyridine-like
O=C1N(c2cncc3ccccc23)CCC12CN(S(=O)(=O)CC1CS(=O)(=O)C1)Cc1ccc(Cl)cc12,ALP-POS-ecbed2ba-5,0.352547783003054,3-aminopyridine-like
COC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,ALP-POS-ecbed2ba-6,0.356360969805611,3-aminopyridine-like
CNC(=O)C1(N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,ALP-POS-ecbed2ba-7,0.0732194580968388,3-aminopyridine-like
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CCC1,ALP-POS-ecbed2ba-8,0.262697733725167,3-aminopyridine-like
N#CC1CN(S(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)C1,ALP-POS-ecbed2ba-9,0.180909047582176,3-aminopyridine-like
COC1CN(S(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)C1,ALP-POS-ecbed2ba-10,0.223774225934084,3-aminopyridine-like
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CCOCC1,ALP-POS-ecbed2ba-11,0.338333523118342,
O=C(CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1)NCC1CC1,ALP-POS-ecbed2ba-12,0.0823742388247868,3-aminopyridine-like
CC(C)(C#N)CS(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,ALP-POS-ecbed2ba-13,0.4479522665284,3-aminopyridine-like
N#CCNC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,ALP-POS-ecbed2ba-14,0.263078440666984,3-aminopyridine-like
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CCCC1,ALP-POS-ecbed2ba-15,0.244398426223658,3-aminopyridine-like
CN(CCC#N)S(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,ALP-POS-ecbed2ba-16,0.612930533414966,3-aminopyridine-like
CN(CC#N)S(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,ALP-POS-ecbed2ba-17,0.406762672746597,3-aminopyridine-like
CCN(C)S(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,ALP-POS-ecbed2ba-18,0.562507493707773,3-aminopyridine-like
CN(CCO)S(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,ALP-POS-ecbed2ba-19,0.698771352303839,3-aminopyridine-like
O=C1N(c2cncc3ccccc23)CCC12CN(S(=O)(=O)N1CCC1)Cc1ccc(Cl)cc12,ALP-POS-ecbed2ba-20,0.330051357482444,3-aminopyridine-like
COCCN(C)S(=O)(=O)N1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccccc34)C2=O)C1,ALP-POS-ecbed2ba-21,0.992968566895424,3-aminopyridine-like
N#CCC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccccc45)C3=O)C2)CC1,ALP-POS-ecbed2ba-22,0.336860713259794,3-aminopyridine-like
CNC(=O)CN1CC2(CCN(c3cncc4cccc(Cl)c34)C2=O)c2cc(Cl)ccc2C1=O,MAT-POS-853c0ffa-1,1.67400466143824,Ugi
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5cccc(Cl)c45)C3=O)C2)CC1,MAT-POS-853c0ffa-5,7.79394546947109,3-aminopyridine-like
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5cc(F)cc(Cl)c45)C3=O)C2)CC1,MAT-POS-853c0ffa-6,23.8095474039447,
CN(C)CCOc1ccc2cncc(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)c2c1,MAT-POS-853c0ffa-9,0.16077609172187,
COC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(OCCN(C)C)cc45)C3=O)C2)CC1,MAT-POS-853c0ffa-10,0.180855584743481,
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5ccc(F)cc45)C3=O)C2)CC1,MAT-POS-853c0ffa-13,0.827933545513867,3-aminopyridine-like
CS(=O)(=O)c1ccc2c(N3CCC4(CN(S(=O)(=O)CC5(C#N)CC5)Cc5ccc(Cl)cc54)C3=O)cncc2c1,MAT-POS-853c0ffa-15,0.103376674471105,
COC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5cc(S(C)(=O)=O)ccc45)C3=O)C2)CC1,MAT-POS-853c0ffa-16,0.413064287661438,
CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C3(CCN(c4cncc5cc(S(C)(=O)=O)ccc45)C3=O)C2)CC1,MAT-POS-853c0ffa-22,0.15493262142154,
CNC(=O)CN1C[C@](C)(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2S1(=O)=O,LUO-POS-868e8996-1,0.075773678130474,3-aminopyridine-like
CNC(=O)CN1C[C@@](C)(C(=O)Nc2cncc3ccccc23)c2cc(Cl)ccc2S1(=O)=O,LUO-POS-868e8996-2,16.0933968205518,3-aminopyridine-like
CNC(=O)CN1C[C@@]2(CC(=O)N(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2C1=O,LUO-POS-868e8996-7,0.12252722174359,Ugi
CNC(=O)CN1C[C@]2(CC(=O)N(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2C1=O,LUO-POS-868e8996-8,84.5706906993453,Ugi
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3[C@@]3(CC(=O)N(c4cncc5ccccc45)C3=O)C2)CC1,LUO-POS-868e8996-9,0.0500000007450581,3-aminopyridine-like
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3[C@]3(CC(=O)N(c4cncc5ccccc45)C3=O)C2)CC1,LUO-POS-868e8996-10,30.1784614496158,3-aminopyridine-like
C[C@@H]1NC(=O)c2ccc(Cl)cc2[C@@H]1C(=O)Nc1cncc2ccccc12,MAT-POS-777f5926-1,0.453744744755255,3-aminopyridine-like
O=C(Nc1cncc2ccccc12)[C@@H]1CN([C@@H]2CCNC2=O)Cc2ccc(Cl)cc21,MAT-POS-777f5926-2,4.08938068398234,3-aminopyridine-like
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3[C@@H](C(=O)Nc3cncc4ccccc34)C2)CNC1,MAT-POS-777f5926-3,1.61771676987511,3-aminopyridine-like
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3[C@H](C(=O)Nc3cncc4ccccc34)C2)CNC1,MAT-POS-777f5926-4,0.070557300083577,3-aminopyridine-like
CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3[C@@H](C(=O)Nc3cncc4ccccc34)C2)CC1,MAT-POS-dd1fff26-1,4.58091458138713,3-aminopyridine-like
CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3[C@H](C(=O)Nc3cncc4ccccc34)C2)CC1,MAT-POS-dd1fff26-2,0.0652437709534295,3-aminopyridine-like
CC1(C(=O)Nc2cncc3c2CCCC3)CNS(=O)(=O)c2ccc(Cl)cc21,ALP-POS-5fe48310-1,99.5,3-aminopyridine-like
CNC(=O)CN1C[C@H](C(=O)Nc2cncc3cc(Cl)ccc23)c2cc(Cl)ccc2C1=O,LUO-POS-74179f4f-1,0.149318831683672,Ugi
CNC(=O)CN1C[C@@H](C(=O)Nc2cncc3cc(Cl)ccc23)c2cc(Cl)ccc2C1=O,LUO-POS-edefcc0e-1,0.938887391109552,Ugi
CNC(=O)CN1CC2(CCN(c3cncc4ccccc34)C2=O)c2cc(Cl)ccc2S1(=O)=O,ALP-POS-4483ae88-2,0.27472373373709,3-aminopyridine-like
CNC(=O)CN1CC(C(=O)Nc2cncc3c2CCCC3)c2cc(Cl)ccc2C1=O,ALP-POS-4483ae88-3,0.448461050733806,Ugi
O=C(Nc1cncc2c1CCCC2)C1CNS(=O)(=O)c2ccc(Cl)cc21,ALP-POS-4483ae88-4,0.451890593399344,3-aminopyridine-like
Cc1nc(CN2CC(C(=O)Nc3cncc4cc(S(C)(=O)=O)ccc34)c3cc(Cl)ccc3C2=O)c[nH]1,EDJ-MED-41558c53-6,0.226111843400593,3-aminopyridine-like
CNC(=O)CN1Cc2ccc(Cl)cc2C(C(=O)Nc2cncc3cc(NS(C)(=O)=O)ccc23)C1,MAT-POS-b4d6b7fc-1,0.0728003945411988,3-aminopyridine-like
CNC(=O)CN1CC(C(=O)Nc2cncc3cc(NS(C)(=O)=O)ccc23)c2cc(Cl)ccc2C1=O,MAT-POS-b4d6b7fc-2,0.044195139359202,Ugi
CNC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4ccc(F)cc34)C2=O)C1,MAT-POS-b4d6b7fc-5,0.266540490879936,3-aminopyridine-like
CNC(=O)CN1Cc2ccc(Cl)cc2C2(CCN(c3cncc4cccc(Cl)c34)C2=O)C1,MAT-POS-b4d6b7fc-6,3.27922588685739,3-aminopyridine-like
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4cccc(Cl)c34)C2)CC1,MAT-POS-b4d6b7fc-8,0.259133191052127,3-aminopyridine-like
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4ccc(F)cc34)C2)CC1,MAT-POS-b4d6b7fc-9,0.13661268990618,3-aminopyridine-like
CN(C)CCOc1ccc2cncc(NC(=O)C3CN(S(=O)(=O)CC4(C#N)CC4)Cc4ccc(Cl)cc43)c2c1,MAT-POS-78ab8081-2,0.117490881179233,
CNC(=O)c1ccc2cncc(NC(=O)C3CN(S(=O)(=O)CC4(C)CS(=O)(=O)C4)Cc4ccc(Cl)cc43)c2c1,MAT-POS-78ab8081-3,0.110367168369788,
CN(c1ccc2c(NC(=O)C3CN(S(=O)(=O)CC4(C#N)CC4)Cc4ccc(Cl)cc43)cncc2c1)S(C)(=O)=O,MAT-POS-22373164-1,0.232231974586494,
CCS(=O)(=O)Nc1ccc2c(NC(=O)C3CN(S(=O)(=O)CC4(C#N)CC4)Cc4ccc(Cl)cc43)cncc2c1,MAT-POS-22373164-2,0.0500000007450581,
CC(C)S(=O)(=O)Nc1ccc2c(NC(=O)C3CN(S(=O)(=O)CC4(C#N)CC4)Cc4ccc(Cl)cc43)cncc2c1,MAT-POS-22373164-3,0.0897713307867812,
N#CC1(CS(=O)(=O)N2Cc3ccc(Cl)cc3C(C(=O)Nc3cncc4cc(NS(=O)(=O)C5CC5)ccc34)C2)CC1,MAT-POS-22373164-4,0.0500000007450581,
CNC(=O)CN1C[C@H](C(=O)Nc2cncc3ccc(F)cc23)c2cc(Cl)ccc2C1=O,MAT-POS-c7726e07-3,0.0964303676662587,Ugi
CNC(=O)CN1C[C@@H](C(=O)Nc2cncc3ccc(F)cc23)c2cc(Cl)ccc2C1=O,MAT-POS-c7726e07-4,0.0946016296487038,Ugi
CNC(=O)CN1Cc2ccc(Cl)cc2[C@@]2(CCN(c3cncc4ccccc34)C2=O)C1,MAT-POS-c7726e07-5,0.0763614099421337,3-aminopyridine-like
CNC(=O)CN1Cc2ccc(Cl)cc2[C@]2(CCN(c3cncc4ccccc34)C2=O)C1,MAT-POS-c7726e07-6,11.920197443812,3-aminopyridine-like
CS(=O)(=O)Nc1ccc2c(NC(=O)[C@H]3CN(S(=O)(=O)CC4(C#N)CC4)Cc4ccc(Cl)cc43)cncc2c1,MAT-POS-c7726e07-7,0.742254405734093,
CS(=O)(=O)Nc1ccc2c(NC(=O)[C@@H]3CN(S(=O)(=O)CC4(C#N)CC4)Cc4ccc(Cl)cc43)cncc2c1,MAT-POS-c7726e07-8,0.0500000007450581,
CNC(=O)CN1CC2(CCN(c3cncc4ccc(Cl)cc34)C2=O)c2cc(Cl)ccc2C1=O,EDG-MED-b1ef7fe3-1,0.143059012142609,Ugi
CNC(=O)CN1CC2(CCN(c3cncc4cc(F)ccc34)C2=O)c2cc(Cl)ccc2C1=O,EDG-MED-b1ef7fe3-3,0.425927070087397,Ugi
CNC(=O)CN1CC2(CCN(c3cncc4cc(Cl)ccc34)C2=O)c2cc(Cl)ccc2C1=O,EDG-MED-b1ef7fe3-4,0.449248669655695,Ugi
C[C@@]1(C(=O)Nc2cncc3ccccc23)CNS(=O)(=O)c2ccc(Cl)cc21,MAT-POS-806462de-1,2.52810842684692,3-aminopyridine-like
C[C@]1(C(=O)Nc2cncc3ccccc23)CNS(=O)(=O)c2ccc(Cl)cc21,MAT-POS-806462de-2,0.0968018647604525,3-aminopyridine-like
C[C@H](N)C(=O)N[C@@H](CCC(N)=O)C(=O)O,SHA-THE-408e7524-3,99.0100021362305,
C[C@@H]1[C@H]2C3=CC[C@@H]4[C@@]5(C)C[C@@H](O)[C@H](O)[C@@](C)(CO)[C@@H]5CC[C@@]4(C)[C@]3(C)CC[C@@]2(C(=O)O[C@@H]2O[C@H](CO[C@@H]3O[C@H](CO)[C@@H](O[C@@H]4O[C@@H](C)[C@H](O)[C@@H](O)[C@H]4O)[C@H](O)[C@H]3O)[C@@H](O)[C@H](O)[C@H]2O)CC[C@H]1C,SHA-THE-408e7524-4,99.0100021362305,
COC(=O)N[C@H](C(=O)N1CCC[C@H]1c1ncc(-c2ccc(-c3ccc(-c4cnc([C@@H]5CCCN5C(=O)[C@@H](NC(=O)OC)C(C)C)[nH]4)cc3)cc2)[nH]1)C(C)C,SHA-THE-408e7524-6,99.0100021362305,
CC[C@H](C)[C@H](NC(=O)[C@H](CO)NC(=O)[C@@H](NC(=O)[C@@H]1CCCN1C(=O)[C@H](C)NC(=O)[C@@H](N)CC(N)=O)C(C)C)C(=O)N1CCC[C@H]1C(=O)N[C@@H](CCC(N)=O)C(=O)O,SHA-THE-408e7524-7,99.0100021362305,
CC(C)C[C@@H](NC(=O)[C@@H](Cc1ccccc1)NC(=O)[C@H](N)Cc1ccccc1)C(=O)N[C@H](CCCCN)C(=O)N1CCC(N)(C(=O)O)CC1,SHA-THE-408e7524-8,99.0100021362305,
Cc1cc(O)cc(C)c1C[C@H](NC(=O)[C@H](N)CCCNC(=N)N)C(=O)N[C@@H](CCCCN)C(=O)N[C@@H](Cc1ccccc1)C(N)=O,SHA-THE-408e7524-9,99.0100021362305,
CC(=O)N[C@H](CSSC[C@H](N)C(=O)O)C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](CCCNC(=N)N)C(=O)N[C@H](C)C(=O)N[C@H](CCCNC(=N)N)C(N)=O,SHA-THE-408e7524-10,99.0100021362305,
CCCCCC(=O)SCCNC(=O)CCNC(=O)[C@H](O)C(C)(C)COP(=O)(O)OP(=O)(O)OC[C@H]1O[C@@H](n2cnc3c(N)ncnc32)[C@H](O)[C@@H]1OP(=O)(O)O,SHA-THE-408e7524-13,65.6143132192046,
CC(C)C1NC(=O)C(CCCCN)NC(=O)C(Cc2c[nH]c3ccccc23)NC(=O)C(Cc2ccc(O)cc2)NC(=O)C(NC(=O)C(N)Cc2ccc3ccccc3c2)CSSCC(C(=O)NC(C(N)=O)C(C)O)NC1=O,SHA-THE-408e7524-15,99.0100021362305,
NCCCCC(NC(=O)[C@@H]1CCCN1C(=O)[C@@H]1CSSC[C@H](N)C(=O)N[C@@H](Cc2ccc(O)cc2)C(=O)N[C@@H](Cc2ccccc2)C(=O)N[C@@H](CCC(N)=O)C(=O)N[C@@H](CC(N)=O)C(=O)N1)C(=O)NCC(N)=O,SHA-THE-408e7524-17,99.0100021362305,
